Area,Value,Room,Living,School,Year,Floor
128,370,3,1,1,2004,21
68,330,1,2,1,2000,6
125,355,3,2,0,2003,5
129,278,2,2,0,2005,16
118,340,3,2,0,2003,6
58,300,1,1,0,2003,22
104,208,3,1,0,2001,6
198,380,3,2,0,2005,7
98,530,3,1,1,1990,12
97,465,2,1,1,1990,10
166,1220,3,2,1,2005,15
71,240,1,1,0,2008,25
51,175,2,1,0,2012,16
93,560,2,2,0,2010,26
54,280,2,1,1,1982,20
72,258,1,2,0,1999,30
56,190,2,1,1,1988,6
58,190,2,1,0,1995,6
111,300,2,2,1,1999,25
51,195,2,1,0,1986,6
57,178,2,1,1,1995,6
56,200,1,1,0,2003,15
98,360,3,1,1,1996,6
120,410,2,2,1,1998,30
82,215,2,1,1,1996,6
100,300,2,1,1,2005,20
150,375,3,2,1,2003,20
85,530,2,2,1,2005,16
89,170,3,2,0,2009,18
85,350,2,1,1,2000,12
139,830,3,1,1,1999,16
146,670,3,2,0,2000,18
58,165,2,1,1,1980,6
119,235,3,2,1,2004,6
67,285,2,1,1,1990,25
104,540,2,2,0,2005,20
85,155,2,2,1,2007,17
76,535,3,1,1,1984,6
90,210,1,0,0,2013,20
68,136,1,1,1,1997,6
51,290,2,1,1,1985,6
60,370,2,1,1,1990,16
94,540,2,1,1,2004,19
85,455,3,1,1,1988,18
63,210,2,1,1,1989,22
58,195,2,1,1,1998,6
62,365,2,1,1,1983,6
93,300,2,1,0,2005,21
127,267,3,2,0,2002,12
84,194,2,1,1,2001,7
62,302,2,1,1,1988,6
51,298,2,1,1,1980,5
130,500,3,2,0,1998,24
60,148,1,1,1,2008,17
120,700,3,2,1,2004,25
154,450,3,2,0,2002,14
60,460,2,1,1,1982,6
114,452,2,2,0,2009,22
180,950,4,2,1,2000,17
115,280,3,2,1,2008,6
57,260,3,1,1,1988,6
103,190,3,1,0,1998,6
71,310,2,1,1,2004,6
125,400,3,2,1,2003,11
63,300,1,1,0,2000,25
63,230,1,1,1,1998,24
111,228,3,2,0,1997,6
130,275,3,1,0,2005,7
73,360,2,1,0,1993,18
44,130,1,1,0,1990,6
88,320,2,2,0,1999,26
58,188,1,0,0,2006,24
45,152,1,1,1,1993,6
63,180,2,1,0,2000,18
89,461,3,1,1,2003,17
87,240,2,1,0,2004,6
97,315,2,1,1,2000,8
58,288,2,1,1,1995,6
57,250,1,1,0,2005,20
83,335,2,2,0,1998,14
94,395,2,2,1,2005,28
58,300,2,1,1,1988,6
60,160,1,0,0,2007,19
81,400,3,1,0,1996,6
107,330,3,2,0,2003,10
54,145,2,1,0,1977,5
108,325,3,1,1,2006,10
153,710,3,2,0,2009,6
88,540,3,1,1,1985,4
100,218,3,1,1,1999,6
87,345,2,1,1,1995,12
230,1230,3,2,1,2005,12
100,290,2,1,1,2004,27
45,242,1,1,1,1988,6
202,810,4,2,0,2009,8
64,340,2,1,1,1984,6
94,205,2,2,1,2006,8
91,200,2,2,0,2012,24
47,136,1,0,1,2000,18
89,320,2,2,0,1999,12
