trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-79.03032914667898,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0,15,4,5,1,0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-179.61194697992235,"{0: 19, 1: 2, 2: 3, 3: 4, 4: 2}",0,19,2,3,4,2
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-113.03668243363182,"{0: 23, 1: 5, 2: 5, 3: 1, 4: 1}",0,23,5,5,1,1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-112.15765478648744,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0,9,3,7,0,1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-212.51685487831114,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 5}",0,21,1,2,1,5
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,8,-91.09833483747305,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1,10,1,4,1,1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-123.86543964601438,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0,15,3,5,0,2
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,19,0.3111623179157077,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1,9,1,1,0,0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-124.50108551635076,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0,13,1,3,1,2
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,-18.61285438564991,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1,10,1,3,0,0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-83.35654430440017,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0,14,0,4,1,1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-143.6048944525399,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0,15,2,5,1,2
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-62.875659741343725,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0,18,2,4,0,1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-41.05550168087808,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0,22,0,1,1,1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-32.614776736367766,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0,18,0,0,1,1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-66.31485123382097,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0,15,0,4,0,1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,12,-6.612095523948431,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1,17,0,0,0,1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-28.385217967029458,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0,22,0,2,0,1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,7,-17.66855900046226,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1,12,0,0,0,1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-5.905057468516429,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0,17,0,3,0,0
1,True,"{'a': 0.0, 'e': 0.0}",20,9,16.2740309613349,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,11,0,0,0,0
2,True,"{'a': 0.0, 'e': 0.0}",20,7,25.404623779771395,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1,13,0,0,0,0
3,True,"{'a': 0.0, 'e': 0.0}",20,13,12.793533139196752,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,7,0,0,0,0
4,True,"{'a': 0.0, 'e': 0.0}",35,25,0.33081049595258216,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1,9,0,1,0,0
5,True,"{'a': 0.0, 'e': 0.0}",20,14,-31.93572458367295,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1,5,0,0,0,1
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-73.37927715292714,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0,16,0,2,0,2
7,True,"{'a': 0.0, 'e': 0.0}",20,9,4.923049373568943,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1,10,0,1,0,0
8,True,"{'a': 0.0, 'e': 0.0}",25,3,-53.03535921048065,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 2}",1,19,0,1,0,2
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.77054075849565,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,18,0,1,0,1
10,True,"{'a': 0.0, 'e': 0.0}",20,4,29.814396009524017,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,16,0,0,0,0
