trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-68.50053127395111,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0,14,1,4,0,1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-79.81693900019653,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0,16,1,1,0,2
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-172.71375949444146,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0,19,2,6,0,3
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,13,-3.363630317737735,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1,6,0,1,0,0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-227.82390890787778,"{0: 13, 1: 1, 2: 6, 3: 1, 4: 4}",1,13,1,6,1,4
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-90.62217575334049,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0,12,0,7,0,1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-215.70441776010833,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0,19,1,5,1,4
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-62.238648532897564,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0,15,0,4,0,1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-101.20121839998677,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0,18,1,4,0,2
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-75.41001907573968,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0,15,0,3,1,1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-58.65733065621367,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0,15,1,3,0,1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-68.52968987302668,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",0,22,0,0,1,2
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-74.9417497176702,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0,27,2,4,1,1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,7,-3.12856256536083,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1,11,0,2,0,0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-163.90322247381636,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",1,11,1,4,1,3
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-102.12166779503306,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0,14,0,4,0,2
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-74.73943891378552,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0,21,0,2,0,2
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,16,-26.251459098248354,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1,8,0,0,0,1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,6,27.062670991760744,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,14,0,0,0,0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,12,-50.55814597893853,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1,5,0,2,0,1
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-83.64446800738175,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0,16,0,2,0,2
2,True,"{'a': 0.0, 'e': 0.0}",20,12,5.1096318373863046,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1,7,0,1,0,0
3,True,"{'a': 0.0, 'e': 0.0}",30,12,16.89651557553828,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1,17,0,1,0,0
4,True,"{'a': 0.0, 'e': 0.0}",35,10,-70.52009436372944,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",1,21,0,2,0,2
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.52132549390551,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0,17,0,2,0,1
6,True,"{'a': 0.0, 'e': 0.0}",30,19,-36.05758717485023,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1,9,0,1,0,1
7,True,"{'a': 0.0, 'e': 0.0}",25,3,-15.365992199206618,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1,20,0,1,0,1
8,True,"{'a': 0.0, 'e': 0.0}",25,8,-62.156587812942234,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1,14,0,1,0,2
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-44.76171765109381,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0,21,0,3,0,1
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-23.300449708174384,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,18,0,1,0,1
