trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 0.99}",20,0,-20.543619744340127,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0,15,2,3,0,0
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-97.33262162016196,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0,10,6,2,1,1
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-142.81624260169286,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0,14,0,2,1,3
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-151.9560506596196,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0,11,1,4,2,2
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,0,-101.05388961853895,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0,13,1,3,2,1
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-166.34307692864638,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0,12,1,3,1,3
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",35,13,-144.2938865362526,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 3}",1,14,1,4,0,3
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,0,-70.7053275975568,"{0: 16, 1: 0, 2: 9, 3: 0, 4: 0}",0,16,0,9,0,0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,0,-156.8651256040647,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0,19,2,5,2,2
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-102.71375296851431,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0,12,1,5,1,1
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-202.73239481384195,"{0: 15, 1: 3, 2: 7, 3: 3, 4: 2}",0,15,3,7,3,2
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-43.559039961767446,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0,14,3,2,1,0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-33.2553195078402,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0,18,0,1,0,1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,0,-121.27074830632772,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0,15,3,4,2,1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",30,0,-124.1009185743576,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",0,24,0,2,1,3
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",25,9,-103.60533036018042,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 2}",1,10,0,4,0,2
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,0,-106.8022644987465,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0,12,1,4,2,1
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",30,0,-100.80667552826047,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0,19,3,7,0,1
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,0,-103.85674345795894,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0,11,2,5,1,1
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,0,-141.1031799290636,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0,16,1,5,1,2
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",25,0,-50.79975900844444,"{0: 17, 1: 1, 2: 7, 3: 0, 4: 0}",0,17,1,7,0,0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,15,5.853432808700226,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1,9,0,1,0,0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",35,3,-112.98977180625818,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 2}",1,24,0,6,0,2
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-90.32110324243322,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0,12,1,6,0,1
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",30,8,-51.59478240755357,"{0: 14, 1: 5, 2: 1, 3: 2, 4: 0}",1,14,5,1,2,0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",30,0,-146.74899069684054,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0,20,1,5,2,2
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-0.9024317329429894,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0,21,2,2,0,0
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,0,-10.6336868494613,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0,16,2,2,0,0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,0,-132.058912330686,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0,15,1,7,0,2
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,0,-125.40933030892639,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0,16,1,4,3,1
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",30,3,-51.70961713166727,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 1}",1,22,0,4,0,1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",20,0,-48.59776609327517,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0,15,2,2,0,1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",25,0,-14.457616937048357,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0,20,3,1,1,0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,0,-86.93544788167785,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0,19,0,3,2,1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,6,-109.27448764290689,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 2}",1,12,3,1,1,2
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,0,-45.87088768257965,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0,16,1,2,0,1
