trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 0.995}",35,0,-221.09466949912198,"{0: 21, 1: 3, 2: 5, 3: 3, 4: 3}",0,21,3,5,3,3
2,False,"{'a': 0.5, 'e': 0.990025}",30,0,-165.49229499139074,"{0: 19, 1: 1, 2: 6, 3: 2, 4: 2}",0,19,1,6,2,2
3,False,"{'a': 0.5, 'e': 0.985074875}",25,0,-72.55711828330526,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0,16,2,6,1,0
4,False,"{'a': 0.5, 'e': 0.980149500625}",30,0,-40.73929774591692,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0,24,0,5,1,0
5,False,"{'a': 0.5, 'e': 0.975248753121875}",25,0,-104.75255655384495,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0,14,3,7,0,1
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",20,0,-89.76313361137755,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0,13,2,3,1,1
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",25,0,-197.60362571802892,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0,15,0,6,0,4
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",20,0,-206.57822649479735,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0,8,3,4,2,3
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",30,0,-181.5245354141352,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0,18,3,6,0,3
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,0,-55.46381198932401,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0,19,3,2,0,1
11,False,"{'a': 0.5, 'e': 0.946354579813443}",25,0,-48.11323045028305,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0,17,5,2,1,0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-93.85478905828364,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0,13,7,4,0,1
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",30,0,-155.11071281741786,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0,16,4,7,2,1
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",30,0,-39.61135524243524,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0,23,1,6,0,0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",20,14,7.552912567609663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",20,0,-85.5402967738829,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 0}",0,10,4,4,2,0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",25,0,-211.1813539348408,"{0: 11, 1: 2, 2: 9, 3: 0, 4: 3}",0,11,2,9,0,3
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",20,0,-122.10702784211172,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0,14,2,1,0,3
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",20,0,-87.40098181896984,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0,13,1,4,1,1
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",30,0,-86.7013110806194,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0,21,1,7,0,1
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",30,0,-34.742223181003745,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0,25,0,4,1,0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",20,0,-63.31803705083943,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0,13,0,6,1,0
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",30,1,-210.4366484824871,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 5}",1,19,3,2,0,5
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",30,0,-201.87704974613737,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0,15,5,6,1,3
25,False,"{'a': 0.5, 'e': 0.8822202429488012}",20,0,-76.75948391683853,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0,13,2,4,0,1
26,False,"{'a': 0.5, 'e': 0.8778091417340572}",20,12,-51.340254534112745,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1,5,0,2,0,1
27,False,"{'a': 0.5, 'e': 0.873420096025387}",25,0,-220.47243525292274,"{0: 13, 1: 0, 2: 8, 3: 0, 4: 4}",0,13,0,8,0,4
28,False,"{'a': 0.5, 'e': 0.86905299554526}",20,0,-149.63247924470778,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0,10,3,3,2,2
29,False,"{'a': 0.5, 'e': 0.8647077305675337}",20,0,-102.9861585185701,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0,11,1,7,0,1
30,False,"{'a': 0.5, 'e': 0.8603841919146961}",20,9,-5.615625704594455,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1,9,0,2,0,0
31,False,"{'a': 0.5, 'e': 0.8560822709551226}",35,0,-212.70935265177042,"{0: 23, 1: 2, 2: 5, 3: 1, 4: 4}",0,23,2,5,1,4
32,False,"{'a': 0.5, 'e': 0.8518018596003469}",20,0,-153.7430408263542,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0,12,2,2,1,3
