trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-85.57377678726539,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0,13,0,6,0,1
2,False,"{'a': 0.5, 'e': 0.990025}",25,0,-195.33161492073805,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0,11,3,7,2,2
3,False,"{'a': 0.5, 'e': 0.985074875}",20,0,-32.5930422983325,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0,15,1,3,1,0
4,False,"{'a': 0.5, 'e': 0.980149500625}",20,0,-34.23651602204771,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0,15,0,5,0,0
5,False,"{'a': 0.5, 'e': 0.975248753121875}",20,0,-102.24487103959173,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0,12,2,3,2,1
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",30,0,-126.31924216178898,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0,21,2,5,0,2
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",20,0,-39.23083971305494,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0,13,2,5,0,0
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",20,0,-67.682445255707,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0,11,3,5,1,0
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",30,13,-77.39436339196251,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 1}",1,10,2,4,0,1
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",20,0,-101.15762834798639,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 0}",0,10,1,7,2,0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",25,0,-120.98342229504428,"{0: 14, 1: 2, 2: 5, 3: 4, 4: 0}",0,14,2,5,4,0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",25,0,-173.02455638256126,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0,15,2,4,1,3
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",35,0,-197.2382537619599,"{0: 21, 1: 2, 2: 8, 3: 1, 4: 3}",0,21,2,8,1,3
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",30,0,-75.58068042095752,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0,19,4,6,1,0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",20,0,-138.0662538223961,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0,11,1,5,1,2
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",25,0,-71.42746596269163,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0,15,4,5,1,0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",20,0,-111.23982072317429,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0,13,3,1,1,2
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",25,0,-72.98735135211749,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0,17,3,4,0,1
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",20,0,-71.99112431749106,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0,12,4,3,0,1
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",25,0,-66.54567057824376,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0,20,1,2,1,1
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",30,17,-32.77735056587972,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 0}",1,8,1,4,0,0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",20,3,-41.99693090226743,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1,15,0,0,1,1
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",35,0,-134.9208259683245,"{0: 20, 1: 2, 2: 11, 3: 2, 4: 0}",0,20,2,11,2,0
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",20,0,-113.63101944338094,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0,12,2,3,2,1
25,False,"{'a': 0.5, 'e': 0.8822202429488012}",20,0,-148.47433105095027,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0,11,0,6,1,2
26,False,"{'a': 0.5, 'e': 0.8778091417340572}",30,2,-93.85755908095716,"{0: 21, 1: 0, 2: 4, 3: 2, 4: 1}",1,21,0,4,2,1
27,False,"{'a': 0.5, 'e': 0.873420096025387}",25,0,-105.64179939791813,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0,17,3,3,0,2
28,False,"{'a': 0.5, 'e': 0.86905299554526}",25,0,-99.70509107056152,"{0: 14, 1: 1, 2: 9, 3: 1, 4: 0}",0,14,1,9,1,0
29,False,"{'a': 0.5, 'e': 0.8647077305675337}",20,13,-28.97997980025699,"{0: 4, 1: 0, 2: 2, 3: 1, 4: 0}",1,4,0,2,1,0
30,False,"{'a': 0.5, 'e': 0.8603841919146961}",25,0,-102.10980073412243,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0,16,3,4,1,1
31,False,"{'a': 0.5, 'e': 0.8560822709551226}",25,0,-173.32656949307253,"{0: 14, 1: 2, 2: 6, 3: 0, 4: 3}",0,14,2,6,0,3
32,False,"{'a': 0.5, 'e': 0.8518018596003469}",20,0,-106.28228291298501,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0,13,2,1,3,1
33,False,"{'a': 0.5, 'e': 0.8475428503023452}",20,5,-102.2099198864866,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 2}",1,10,0,2,1,2
34,False,"{'a': 0.5, 'e': 0.8433051360508335}",20,9,-50.12167188719141,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 1}",1,7,2,1,0,1
35,False,"{'a': 0.5, 'e': 0.8390886103705792}",20,14,-70.48194670974371,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 2}",1,4,0,0,0,2
36,False,"{'a': 0.5, 'e': 0.8348931673187264}",20,0,-156.7475369400678,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0,10,0,7,1,2
37,False,"{'a': 0.5, 'e': 0.8307187014821328}",20,3,-83.73869678020705,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1,12,1,2,0,2
38,False,"{'a': 0.5, 'e': 0.826565107974722}",30,0,-226.0245467236506,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 5}",0,18,3,4,0,5
39,False,"{'a': 0.5, 'e': 0.8224322824348484}",20,0,-102.58415591225702,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0,14,0,4,0,2
40,False,"{'a': 0.5, 'e': 0.8183201210226743}",25,0,-63.23201045965577,"{0: 18, 1: 1, 2: 4, 3: 2, 4: 0}",0,18,1,4,2,0
41,False,"{'a': 0.5, 'e': 0.8142285204175609}",25,0,-114.93539166161324,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0,13,3,8,0,1
42,False,"{'a': 0.5, 'e': 0.810157377815473}",20,0,-26.218023269595598,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0,15,0,5,0,0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",20,0,-95.63731061546494,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0,10,4,5,0,1
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",20,0,-202.0358825640011,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 4}",0,10,1,5,0,4
45,False,"{'a': 0.5, 'e': 0.7980656776819048}",20,0,-111.0149073757165,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0,13,2,2,1,2
46,False,"{'a': 0.5, 'e': 0.7940753492934953}",20,0,-134.9842272218479,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0,13,2,2,0,3
47,False,"{'a': 0.5, 'e': 0.7901049725470278}",25,15,-25.574108508446177,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1,6,1,3,0,0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",30,9,-103.7404984652577,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 2}",1,13,3,3,0,2
49,False,"{'a': 0.5, 'e': 0.7822236754458712}",25,0,-125.31768369300133,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0,16,1,6,0,2
50,False,"{'a': 0.5, 'e': 0.7783125570686419}",20,0,-110.8887241022268,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0,14,0,3,1,2
51,False,"{'a': 0.5, 'e': 0.7744209942832987}",20,0,-131.91175378665824,"{0: 10, 1: 0, 2: 8, 3: 1, 4: 1}",0,10,0,8,1,1
52,False,"{'a': 0.5, 'e': 0.7705488893118821}",20,0,-112.83897654138181,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0,11,1,6,1,1
53,False,"{'a': 0.5, 'e': 0.7666961448653228}",25,0,-145.40135249068288,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0,13,0,10,1,1
54,False,"{'a': 0.5, 'e': 0.7628626641409961}",20,3,-33.431040523398195,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 0}",1,12,0,5,0,0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",25,0,-217.75932072303732,"{0: 13, 1: 1, 2: 5, 3: 3, 4: 3}",0,13,1,5,3,3
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",20,0,-64.19554909860685,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0,15,0,3,1,1
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",20,0,-40.54747166162515,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0,13,3,4,0,0
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",25,0,-72.72103253334122,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0,17,2,5,0,1
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",25,0,-128.46261659433267,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0,15,2,6,0,2
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",20,0,-102.63203317854324,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0,12,4,2,0,2
61,False,"{'a': 0.5, 'e': 0.736559652908221}",25,3,-173.5965614865421,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 4}",1,14,1,3,0,4
62,False,"{'a': 0.5, 'e': 0.7328768546436799}",25,0,-21.92139219626004,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0,20,1,4,0,0
