trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.96581947485957,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0,10,1,9,0,0
2,False,"{'a': 0.5, 'e': 1.0}",25,2,-192.90320529144176,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 4}",1,12,4,3,0,4
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.08307938507731,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0,10,2,6,1,1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.20886862934006,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0,13,2,5,2,3
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.34868053176882,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0,15,3,0,1,1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-162.39580798744103,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0,16,3,8,2,1
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-32.79459844419658,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0,17,5,3,0,0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-167.4431259669472,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0,17,4,6,1,2
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.7971007895058,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0,12,2,4,0,2
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.7700229917702,"{0: 14, 1: 3, 2: 11, 3: 0, 4: 2}",0,14,3,11,0,2
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.497764454807445,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0,17,4,3,1,0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.36897923915816,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0,13,0,6,0,1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.23185394392539,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0,12,3,5,0,0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-192.9707628974281,"{0: 20, 1: 4, 2: 6, 3: 3, 4: 2}",0,20,4,6,3,2
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.3140823383984,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0,14,1,3,1,1
16,False,"{'a': 0.5, 'e': 1.0}",30,11,-67.02503966184345,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 1}",1,13,2,2,1,1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.0365797435934,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0,12,2,5,1,0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-213.5384567710326,"{0: 10, 1: 3, 2: 1, 3: 2, 4: 4}",0,10,3,1,2,4
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-94.64622238242079,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0,20,3,6,0,1
20,False,"{'a': 0.5, 'e': 1.0}",25,15,-29.125721239086296,"{0: 5, 1: 2, 2: 3, 3: 0, 4: 0}",1,5,2,3,0,0
21,False,"{'a': 0.5, 'e': 1.0}",30,0,-343.360952434442,"{0: 11, 1: 4, 2: 9, 3: 0, 4: 6}",0,11,4,9,0,6
22,False,"{'a': 0.5, 'e': 1.0}",25,0,-70.057316862051,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0,16,1,7,1,0
23,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.08435410716874,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0,16,2,4,1,2
24,False,"{'a': 0.5, 'e': 1.0}",20,6,-48.00659680072542,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1,8,0,6,0,0
25,False,"{'a': 0.5, 'e': 1.0}",35,0,-214.1852689163275,"{0: 20, 1: 2, 2: 10, 3: 0, 4: 3}",0,20,2,10,0,3
26,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.84262365607387,"{0: 15, 1: 1, 2: 0, 3: 2, 4: 2}",0,15,1,0,2,2
27,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.78867302887484,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0,12,2,6,0,0
28,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.72191282507268,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0,11,2,5,1,1
29,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.26243655131195,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0,16,2,5,2,0
30,False,"{'a': 0.5, 'e': 1.0}",25,6,-82.33439401553608,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 0}",1,10,1,7,1,0
31,False,"{'a': 0.5, 'e': 1.0}",20,0,-32.29265812205258,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0,14,3,3,0,0
32,False,"{'a': 0.5, 'e': 1.0}",20,0,-6.261683578327675,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0,17,0,3,0,0
33,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.92888749705386,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0,17,3,8,0,2
34,False,"{'a': 0.5, 'e': 1.0}",20,0,-113.57394145595664,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0,12,2,4,0,2
35,False,"{'a': 0.5, 'e': 1.0}",20,0,-92.58321676342078,"{0: 15, 1: 0, 2: 1, 3: 3, 4: 1}",0,15,0,1,3,1
36,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.14758527152864,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0,12,1,4,1,2
37,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.37795700467399,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0,12,2,5,0,1
38,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.35400296777217,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0,14,3,3,0,0
39,False,"{'a': 0.5, 'e': 1.0}",25,0,-230.32979124729607,"{0: 13, 1: 2, 2: 4, 3: 2, 4: 4}",0,13,2,4,2,4
40,False,"{'a': 0.5, 'e': 1.0}",25,0,-131.2981326848422,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0,13,2,8,1,1
41,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.945376054336435,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0,13,2,5,0,0
42,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.00179362576696,"{0: 12, 1: 6, 2: 7, 3: 0, 4: 0}",0,12,6,7,0,0
