trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-38.27519324286025,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0,17,4,4,0,0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.30910631621663,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0,12,0,6,1,1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-220.84183482847652,"{0: 17, 1: 3, 2: 6, 3: 0, 4: 4}",0,17,3,6,0,4
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-142.421464502361,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0,23,2,7,2,1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.55317405398665,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0,13,1,2,1,3
6,False,"{'a': 0.5, 'e': 1.0}",25,7,-65.83900153474286,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1,11,4,2,0,1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-196.3612211309052,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 4}",0,10,2,4,0,4
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-54.20938199120733,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0,23,0,6,1,0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.01662927764352,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0,10,2,4,2,2
10,False,"{'a': 0.5, 'e': 1.0}",25,10,-14.265084660096882,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1,12,0,3,0,0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.43488077687187,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0,16,1,1,1,1
12,False,"{'a': 0.5, 'e': 1.0}",20,7,-20.897300027003723,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1,9,1,3,0,0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-62.52830079172685,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0,15,1,3,0,1
14,False,"{'a': 0.5, 'e': 1.0}",30,10,-97.85156119584411,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",1,10,4,5,0,1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-65.67712066348412,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0,20,1,2,1,1
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-192.71918884235868,"{0: 12, 1: 2, 2: 8, 3: 0, 4: 3}",0,12,2,8,0,3
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.88453286674854,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0,9,6,4,0,1
