trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 0.99}",25,0,-134.3033688114817,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0,13,4,5,2,1
2,False,"{'a': 0.5, 'e': 0.9801}",20,0,-98.34248008332655,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0,10,4,5,0,1
3,False,"{'a': 0.5, 'e': 0.970299}",30,0,-173.1107881458619,"{0: 18, 1: 2, 2: 6, 3: 2, 4: 2}",0,18,2,6,2,2
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-76.09107805033345,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0,11,3,4,2,0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,0,-42.94971562117351,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0,24,2,3,0,1
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,0,-27.09472820502285,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0,20,2,2,1,0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,0,-64.05594595891488,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0,23,2,4,0,1
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-84.2864665867667,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0,12,1,5,2,0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-68.85804987044014,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0,11,1,8,0,0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",25,0,-67.31597076575886,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0,15,3,7,0,0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",30,0,-108.7975277587974,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0,21,2,4,2,1
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",25,0,-107.9629118887819,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0,17,3,3,0,2
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-67.62325829296584,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0,13,1,4,2,0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-40.52799146644312,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0,17,0,2,0,1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,0,-98.59686060456387,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0,14,1,3,0,2
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,0,-115.90999594395664,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0,13,3,1,1,2
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-72.83784398837706,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0,19,0,4,1,1
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-87.5252002202804,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0,14,3,1,0,2
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,1,-88.36843248280267,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 1}",1,11,3,3,1,1
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-57.858070898689476,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0,15,1,3,0,1
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,0,-59.88252259890898,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0,15,1,3,0,1
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",25,0,-78.42418081246865,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0,20,0,2,2,1
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,0,-137.8112551139303,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0,13,2,2,0,3
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-34.44867930755582,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0,15,1,3,1,0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",30,9,-44.40210009954096,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1,17,0,3,0,1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",30,2,-58.00069354546829,"{0: 20, 1: 4, 2: 3, 3: 0, 4: 1}",1,20,4,3,0,1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",25,0,-110.41141798060379,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0,18,2,3,0,2
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",30,0,-53.33171942359093,"{0: 21, 1: 4, 2: 4, 3: 1, 4: 0}",0,21,4,4,1,0
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",20,8,5.336371469614058,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1,11,0,1,0,0
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",30,0,-74.50955074930764,"{0: 20, 1: 3, 2: 6, 3: 1, 4: 0}",0,20,3,6,1,0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",30,17,-25.017928099116027,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 0}",1,10,0,2,1,0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,0,-85.34056944229047,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0,17,1,6,0,1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",30,0,-172.82315257255877,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0,19,1,6,1,3
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,7,-66.63872188352263,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1,9,0,2,1,1
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-78.90767169839933,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0,14,1,3,1,1
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",30,9,-42.21528050470385,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 0}",1,14,3,3,1,0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,0,-78.80804881705188,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0,14,1,3,1,1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-136.88942187412002,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0,11,2,4,1,2
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,0,-60.00140022959881,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0,14,2,3,0,1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,0,-133.70011102957807,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 3}",0,19,0,2,1,3
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,0,-35.67991306027413,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0,14,2,4,0,0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,0,-88.41510344063506,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0,13,1,4,1,1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-54.4503575337825,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0,14,0,5,1,0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,9,-136.34814746173555,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 3}",1,9,2,2,0,3
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",30,0,-45.80813584118636,"{0: 21, 1: 3, 2: 6, 3: 0, 4: 0}",0,21,3,6,0,0
