trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 1.0}",30,12,33.06758841260718,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,18,0,0,0,0
2,False,"{'a': 0.5, 'e': 1.0}",30,15,28.82242178315615,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1,15,0,0,0,0
3,False,"{'a': 0.5, 'e': 1.0}",35,14,35.797476554997594,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1,21,0,0,0,0
4,False,"{'a': 0.5, 'e': 1.0}",20,11,18.342712827742112,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
5,False,"{'a': 0.5, 'e': 1.0}",25,19,13.384489245576548,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
6,False,"{'a': 0.5, 'e': 1.0}",30,13,29.51826180137332,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
7,False,"{'a': 0.5, 'e': 1.0}",20,11,16.69571533359769,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
8,False,"{'a': 0.5, 'e': 1.0}",35,16,33.243401492367795,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1,19,0,0,0,0
9,False,"{'a': 0.5, 'e': 1.0}",25,10,28.473616722294928,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1,15,0,0,0,0
10,False,"{'a': 0.5, 'e': 1.0}",25,19,12.852170444047147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
11,False,"{'a': 0.5, 'e': 1.0}",30,16,27.682872080545884,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,14,0,0,0,0
12,False,"{'a': 0.5, 'e': 1.0}",40,25,32.86175194939426,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1,15,0,0,0,0
13,False,"{'a': 0.5, 'e': 1.0}",35,8,49.07333906357646,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1,27,0,0,0,0
14,False,"{'a': 0.5, 'e': 1.0}",30,19,25.426442168011256,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,11,0,0,0,0
15,False,"{'a': 0.5, 'e': 1.0}",40,23,32.63825988758093,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
16,False,"{'a': 0.5, 'e': 1.0}",25,19,10.773034999904011,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
17,False,"{'a': 0.5, 'e': 1.0}",40,23,31.549410312019795,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
18,False,"{'a': 0.5, 'e': 1.0}",20,12,18.211642107785092,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,8,0,0,0,0
19,False,"{'a': 0.5, 'e': 1.0}",25,7,28.73473028685455,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,18,0,0,0,0
20,False,"{'a': 0.5, 'e': 1.0}",30,9,39.77737531346862,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1,21,0,0,0,0
1,True,"{'a': 0.5, 'e': 1.0}",25,15,20.571941335719337,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,10,0,0,0,0
2,True,"{'a': 0.5, 'e': 1.0}",40,20,38.59241742576325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1,20,0,0,0,0
3,True,"{'a': 0.5, 'e': 1.0}",25,15,18.581482818732667,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1,10,0,0,0,0
4,True,"{'a': 0.5, 'e': 1.0}",20,14,10.662222641784936,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1,6,0,0,0,0
5,True,"{'a': 0.5, 'e': 1.0}",20,11,19.888586368874243,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
6,True,"{'a': 0.5, 'e': 1.0}",25,14,19.841445498137695,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,11,0,0,0,0
7,True,"{'a': 0.5, 'e': 1.0}",35,13,43.9329844688073,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1,22,0,0,0,0
8,True,"{'a': 0.5, 'e': 1.0}",20,13,15.483412859712745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1,7,0,0,0,0
9,True,"{'a': 0.5, 'e': 1.0}",20,12,14.496636412980038,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1,8,0,0,0,0
10,True,"{'a': 0.5, 'e': 1.0}",20,16,8.377899003666988,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,4,0,0,0,0
11,True,"{'a': 0.5, 'e': 1.0}",35,26,14.848437819541239,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1,9,0,0,0,0
12,True,"{'a': 0.5, 'e': 1.0}",30,18,18.726406136853264,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,12,0,0,0,0
13,True,"{'a': 0.5, 'e': 1.0}",35,18,32.30188096093217,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1,17,0,0,0,0
14,True,"{'a': 0.5, 'e': 1.0}",40,22,32.49153249801247,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,18,0,0,0,0
15,True,"{'a': 0.5, 'e': 1.0}",20,8,25.849924696183372,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1,12,0,0,0,0
16,True,"{'a': 0.5, 'e': 1.0}",30,12,32.91204537503226,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1,18,0,0,0,0
17,True,"{'a': 0.5, 'e': 1.0}",35,21,25.49636251505765,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1,14,0,0,0,0
18,True,"{'a': 0.5, 'e': 1.0}",25,14,23.325520538404042,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1,11,0,0,0,0
19,True,"{'a': 0.5, 'e': 1.0}",40,18,35.30399984685637,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1,22,0,0,0,0
20,True,"{'a': 0.5, 'e': 1.0}",20,4,30.927030801625573,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1,16,0,0,0,0
21,True,"{'a': 0.5, 'e': 1.0}",40,14,43.61962579352871,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1,26,0,0,0,0
