trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.63337492323765,"{0: 16, 1: 5, 2: 2, 3: 2, 4: 0}",0,16,5,2,2,0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-66.74184200299032,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0,12,1,6,1,0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.16320508652517,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0,14,0,5,0,1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.09331005758875,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0,14,5,2,2,2
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-129.86124147920552,"{0: 21, 1: 3, 2: 2, 3: 2, 4: 2}",0,21,3,2,2,2
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.23835669470864,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0,16,3,3,1,2
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.10486182389997,"{0: 11, 1: 5, 2: 1, 3: 1, 4: 2}",0,11,5,1,1,2
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.88780973772185,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0,10,1,6,2,1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.39926298392423,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0,11,3,3,2,1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.94096922790374,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0,13,3,7,1,1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-199.5118869333761,"{0: 15, 1: 1, 2: 3, 3: 3, 4: 3}",0,15,1,3,3,3
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.57395703826637,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0,14,3,4,1,3
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-101.73036004873575,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0,15,2,7,0,1
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-135.61395153094753,"{0: 26, 1: 4, 2: 2, 3: 0, 4: 3}",0,26,4,2,0,3
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-25.651638793144553,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0,15,1,4,0,0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.86678332417365,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0,16,2,4,3,0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.98108649259459,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0,14,0,4,2,0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.88148809819324,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0,12,1,5,0,2
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.81084044525826,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0,13,3,7,1,1
20,False,"{'a': 0.5, 'e': 1.0}",20,2,-80.66864328193583,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1,15,0,0,1,2
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-131.29100006555066,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0,13,1,2,2,2
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-40.22965271535796,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0,18,2,5,0,0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-102.0029208484928,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0,9,2,8,1,0
4,True,"{'a': 0.5, 'e': 1.0}",20,11,-51.49449753901375,"{0: 4, 1: 1, 2: 3, 3: 1, 4: 0}",1,4,1,3,1,0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-160.4915302497047,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0,16,2,3,1,3
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-168.98795675889852,"{0: 15, 1: 2, 2: 10, 3: 2, 4: 1}",0,15,2,10,2,1
7,True,"{'a': 0.5, 'e': 1.0}",20,1,-54.37199710816027,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1,14,1,3,0,1
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-90.6976786499104,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0,20,5,3,1,1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.67316710368345,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0,12,4,2,1,1
10,True,"{'a': 0.5, 'e': 1.0}",25,6,-100.53149412406245,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 2}",1,13,2,1,1,2
