trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,actions-0,actions-1,actions-2,actions-3,actions-4
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.12602506810526,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0,10,4,5,0,1
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-224.7867807722711,"{0: 20, 1: 3, 2: 7, 3: 2, 4: 3}",0,20,3,7,2,3
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-83.16346956193723,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0,13,2,3,1,1
4,False,"{'a': 0.5, 'e': 1.0}",20,2,-118.20606306365502,"{0: 10, 1: 2, 2: 2, 3: 3, 4: 1}",1,10,2,2,3,1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.348155792859174,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0,14,2,2,2,0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.19139831340205,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0,17,1,4,1,2
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-241.81139942467792,"{0: 16, 1: 2, 2: 5, 3: 4, 4: 3}",0,16,2,5,4,3
8,False,"{'a': 0.5, 'e': 1.0}",25,18,-23.244144881868444,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1,5,0,1,1,0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.32750483038768,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0,17,2,3,2,1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.73641463036182,"{0: 16, 1: 1, 2: 3, 3: 3, 4: 2}",0,16,1,3,3,2
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-219.54027010991666,"{0: 15, 1: 3, 2: 6, 3: 4, 4: 2}",0,15,3,6,4,2
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.22502580169018,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0,11,4,4,1,0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-198.21845502420248,"{0: 18, 1: 5, 2: 3, 3: 0, 4: 4}",0,18,5,3,0,4
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-183.46491094960774,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0,17,2,7,2,2
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-72.02077381522294,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0,19,0,5,0,1
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.27007595388818,"{0: 15, 1: 3, 2: 7, 3: 4, 4: 1}",0,15,3,7,4,1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-157.6823404818581,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0,12,1,3,1,3
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.03320810169873,"{0: 13, 1: 0, 2: 8, 3: 1, 4: 3}",0,13,0,8,1,3
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.6042455846132,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0,9,2,6,1,2
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-119.95064566213982,"{0: 17, 1: 3, 2: 7, 3: 3, 4: 0}",0,17,3,7,3,0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-178.88977155876776,"{0: 16, 1: 4, 2: 6, 3: 2, 4: 2}",0,16,4,6,2,2
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-95.59327962525288,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0,17,1,5,1,1
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-148.06170341031682,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0,15,5,8,1,1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-150.00905412255452,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0,19,3,4,2,2
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.01708846543167,"{0: 13, 1: 0, 2: 2, 3: 3, 4: 2}",0,13,0,2,3,2
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.865305920984476,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0,14,1,5,0,0
7,True,"{'a': 0.5, 'e': 1.0}",30,1,-184.67641413463835,"{0: 16, 1: 1, 2: 8, 3: 2, 4: 2}",1,16,1,8,2,2
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-62.090328754346146,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0,17,2,5,1,0
9,True,"{'a': 0.5, 'e': 1.0}",20,4,-79.63840897954638,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1,12,1,1,0,2
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.01642945796026,"{0: 9, 1: 2, 2: 6, 3: 3, 4: 0}",0,9,2,6,3,0
